,obj_type,num_objects,gpu,num_cpus,computation_time
0,sphere,1,True,15,1.2952499389648438
1,sphere,1,True,7,0.6487817764282227
2,sphere,1,True,3,0.4052889347076416
3,sphere,1,True,1,0.16375088691711426
4,sphere,1,True,0,0.14874768257141113
5,sphere,1,False,15,0.16718006134033203
6,sphere,1,False,7,0.0880129337310791
7,sphere,1,False,3,0.046457529067993164
8,sphere,1,False,1,0.015048503875732422
9,sphere,1,False,0,0.00623011589050293
10,sphere,10,True,15,1.5607523918151855
11,sphere,10,True,7,0.9444172382354736
12,sphere,10,True,3,0.8253931999206543
13,sphere,10,True,1,0.3169677257537842
14,sphere,10,True,0,0.27066707611083984
15,sphere,10,False,15,0.15645098686218262
16,sphere,10,False,7,0.10064077377319336
17,sphere,10,False,3,0.06028103828430176
18,sphere,10,False,1,0.020990610122680664
19,sphere,10,False,0,0.011546134948730469
20,sphere,100,True,15,1.4203717708587646
21,sphere,100,True,7,1.1479220390319824
22,sphere,100,True,3,0.5656330585479736
23,sphere,100,True,1,0.32570719718933105
24,sphere,100,True,0,0.2623910903930664
25,sphere,100,False,15,0.3749713897705078
26,sphere,100,False,7,0.12948203086853027
27,sphere,100,False,3,0.07596611976623535
28,sphere,100,False,1,0.036818742752075195
29,sphere,100,False,0,0.025557518005371094
30,sphere,1000,True,15,2.0437259674072266
31,sphere,1000,True,7,1.6626629829406738
32,sphere,1000,True,3,0.5784788131713867
33,sphere,1000,True,1,0.5372445583343506
34,sphere,1000,True,0,0.5015077590942383
35,sphere,1000,False,15,1.7437036037445068
36,sphere,1000,False,7,1.3520092964172363
37,sphere,1000,False,3,1.6418774127960205
38,sphere,1000,False,1,0.815946102142334
39,sphere,1000,False,0,0.38912510871887207
40,sphere,5000,True,15,5.323946714401245
41,sphere,5000,True,7,4.999704837799072
42,sphere,5000,True,3,2.409075975418091
43,sphere,5000,True,1,1.7768537998199463
44,sphere,5000,True,0,1.697235107421875
45,sphere,5000,False,15,9.559634447097778
